scenario,animal_id,session_id,session,group,timepoint,abf_file,wmv_file,abf_path,wmv_path,abf_gb,wmv_gb
B,16572,165721,1.0,WT,9m,21029009.abf,Video 10170.wmv,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\21029009.abf,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\Video 10170.wmv,0.134,0.406
B,16572,165721,1.0,WT,9m,21029010.abf,Video 10171.wmv,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\21029010.abf,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\Video 10171.wmv,0.134,0.691
B,16572,165721,1.0,WT,9m,21029011.abf,Video 10172.wmv,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\21029011.abf,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\Video 10172.wmv,0.134,1.096
B,16572,165721,1.0,WT,9m,21029012.abf,Video 10173.wmv,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\21029012.abf,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\Video 10173.wmv,0.134,1.245
B,16572,165721,1.0,WT,9m,21029013.abf,Video 10174.wmv,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\21029013.abf,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\Video 10174.wmv,0.134,1.239
B,16572,165721,1.0,WT,9m,21030000.abf,Video 10175.wmv,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\21030000.abf,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\Video 10175.wmv,0.134,1.403
B,16572,165722,2.0,WT,9m,21030001.abf,Video 10176.wmv,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\21030001.abf,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\Video 10176.wmv,0.134,1.113
B,16572,165722,2.0,WT,9m,21030002.abf,Video 10177.wmv,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\21030002.abf,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\Video 10177.wmv,0.134,1.349
B,16572,165722,2.0,WT,9m,21030003.abf,Video 10178.wmv,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\21030003.abf,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\Video 10178.wmv,0.134,1.313
B,16572,165722,2.0,WT,9m,21030004.abf,Video 10179.wmv,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\21030004.abf,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\Video 10179.wmv,0.134,1.22
B,16572,165722,2.0,WT,9m,21030005.abf,Video 10180.wmv,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\21030005.abf,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\Video 10180.wmv,0.134,0.723
B,16572,165722,2.0,WT,9m,21030006.abf,Video 10181.wmv,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\21030006.abf,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\Video 10181.wmv,0.134,0.681
B,16572,165722,2.0,WT,9m,21030007.abf,Video 10182.wmv,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\21030007.abf,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\Video 10182.wmv,0.134,0.638
B,16594,165941,1.0,WT,9m,21028012.abf,Video 10160.wmv,F:\EEG\EEG 10mon\WT\16594_28Oct21_Followup-10M\21028012.abf,F:\EEG\EEG 10mon\WT\16594_28Oct21_Followup-10M\Video 10160.wmv,0.134,1.043
B,16594,165941,1.0,WT,9m,21028013.abf,Video 10161.wmv,F:\EEG\EEG 10mon\WT\16594_28Oct21_Followup-10M\21028013.abf,F:\EEG\EEG 10mon\WT\16594_28Oct21_Followup-10M\Video 10161.wmv,0.134,1.149
B,16594,165941,1.0,WT,9m,21028014.abf,Video 10162.wmv,F:\EEG\EEG 10mon\WT\16594_28Oct21_Followup-10M\21028014.abf,F:\EEG\EEG 10mon\WT\16594_28Oct21_Followup-10M\Video 10162.wmv,0.134,1.073
B,16594,165941,1.0,WT,9m,21029000.abf,Video 10163.wmv,F:\EEG\EEG 10mon\WT\16594_28Oct21_Followup-10M\21029000.abf,F:\EEG\EEG 10mon\WT\16594_28Oct21_Followup-10M\Video 10163.wmv,0.134,1.054
B,16594,165941,1.0,WT,9m,21029001.abf,Video 10164.wmv,F:\EEG\EEG 10mon\WT\16594_28Oct21_Followup-10M\21029001.abf,F:\EEG\EEG 10mon\WT\16594_28Oct21_Followup-10M\Video 10164.wmv,0.134,1.152
B,16594,165942,2.0,WT,9m,21029002.abf,Video 10165.wmv,F:\EEG\EEG 10mon\WT\16594_28Oct21_Followup-10M\21029002.abf,F:\EEG\EEG 10mon\WT\16594_28Oct21_Followup-10M\Video 10165.wmv,0.134,1.149
B,16594,165942,2.0,WT,9m,21029003.abf,Video 10166.wmv,F:\EEG\EEG 10mon\WT\16594_28Oct21_Followup-10M\21029003.abf,F:\EEG\EEG 10mon\WT\16594_28Oct21_Followup-10M\Video 10166.wmv,0.134,0.992
B,16594,165942,2.0,WT,9m,21029004.abf,Video 10167.wmv,F:\EEG\EEG 10mon\WT\16594_28Oct21_Followup-10M\21029004.abf,F:\EEG\EEG 10mon\WT\16594_28Oct21_Followup-10M\Video 10167.wmv,0.134,0.547
B,16594,165942,2.0,WT,9m,21029005.abf,Video 10168.wmv,F:\EEG\EEG 10mon\WT\16594_28Oct21_Followup-10M\21029005.abf,F:\EEG\EEG 10mon\WT\16594_28Oct21_Followup-10M\Video 10168.wmv,0.134,0.411
B,16594,165942,2.0,WT,9m,21029006.abf,Video 10169.wmv,F:\EEG\EEG 10mon\WT\16594_28Oct21_Followup-10M\21029006.abf,F:\EEG\EEG 10mon\WT\16594_28Oct21_Followup-10M\Video 10169.wmv,0.134,0.391
B,16645,166451,1.0,WT,9m,21015002.abf,Video 10232.wmv,F:\EEG\EEG 10mon\WT\16645_15Nov21_Followup-10M\21015002.abf,F:\EEG\EEG 10mon\WT\16645_15Nov21_Followup-10M\Video 10232.wmv,0.134,0.404
B,16653,166531,1.0,WT,9m,21n04003.abf,Video 10191.wmv,F:\EEG\EEG 10mon\WT\16653_02Nov21_Followup-10M\21n04003.abf,F:\EEG\EEG 10mon\WT\16653_02Nov21_Followup-10M\Video 10191.wmv,0.134,0.4
B,16657,166571,1.0,WT,9m,21n23001.abf,Video 10246.wmv,F:\EEG\EEG 10mon\WT\16657_23Nov21_Followup-10M\21n23001.abf,F:\EEG\EEG 10mon\WT\16657_23Nov21_Followup-10M\Video 10246.wmv,0.268,0.438
B,16657,166572,2.0,WT,9m,21n23002.abf,Video 10247.wmv,F:\EEG\EEG 10mon\WT\16657_23Nov21_Followup-10M\21n23002.abf,F:\EEG\EEG 10mon\WT\16657_23Nov21_Followup-10M\Video 10247.wmv,0.268,0.413
B,16658,166581,1.0,WT,9m,21n22001.abf,Video 10244.wmv,F:\EEG\EEG 10mon\WT\16658_22Nov21_Followup-10M\21n22001.abf,F:\EEG\EEG 10mon\WT\16658_22Nov21_Followup-10M\Video 10244.wmv,0.268,0.409
