animal_id,session_id,group,abf_file,n_epochs,n_wake,n_nrem,n_rem,pct_wake,pct_nrem,pct_rem
16572,165721,WT,21409010.abf,1800,1219,368,213,67.7,20.4,11.8
16572,165721,WT,21409011.abf,1800,1285,363,152,71.4,20.2,8.4
16572,165721,WT,21409012.abf,1800,1216,361,223,67.6,20.1,12.4
16572,165721,WT,21410000.abf,1800,1253,396,151,69.6,22.0,8.4
16572,165721,WT,21410001.abf,1800,1245,406,149,69.2,22.6,8.3
16572,165721,WT,21410002.abf,1800,1265,388,147,70.3,21.6,8.2
16572,165722,WT,21410003.abf,1800,1251,383,166,69.5,21.3,9.2
16572,165722,WT,21410004.abf,1800,1195,423,182,66.4,23.5,10.1
16572,165722,WT,21410005.abf,1800,1239,411,150,68.8,22.8,8.3
16572,165722,WT,21410006.abf,1800,1150,497,153,63.9,27.6,8.5
16572,165722,WT,21410007.abf,1800,1241,387,172,68.9,21.5,9.6
16572,165722,WT,21410008.abf,1663,1109,383,171,66.7,23.0,10.3
16594,165941,WT,21416010.abf,1800,1115,531,154,61.9,29.5,8.6
16594,165941,WT,21416011.abf,1800,1081,540,179,60.1,30.0,9.9
16594,165941,WT,21416012.abf,1800,1077,558,165,59.8,31.0,9.2
16594,165941,WT,21416013.abf,1800,1050,563,187,58.3,31.3,10.4
16594,165941,WT,21417000.abf,1800,1034,574,192,57.4,31.9,10.7
16594,165941,WT,21417001.abf,1800,1055,542,203,58.6,30.1,11.3
16594,165942,WT,21417002.abf,1800,984,525,291,54.7,29.2,16.2
16594,165942,WT,21417003.abf,1800,997,550,253,55.4,30.6,14.1
16594,165942,WT,21417004.abf,1800,1011,520,269,56.2,28.9,14.9
16594,165942,WT,21417005.abf,1800,947,584,269,52.6,32.4,14.9
16594,165942,WT,21417006.abf,1800,1014,517,269,56.3,28.7,14.9
16594,165942,WT,21417007.abf,1800,1025,524,251,56.9,29.1,13.9
16596,165961,WT,21414011.abf,1800,1271,477,52,70.6,26.5,2.9
16596,165961,WT,21414012.abf,1800,1381,332,87,76.7,18.4,4.8
16596,165961,WT,21414013.abf,1800,1235,484,81,68.6,26.9,4.5
16596,165961,WT,21414014.abf,1800,1195,425,180,66.4,23.6,10.0
16596,165962,WT,21414015.abf,1800,1159,471,170,64.4,26.2,9.4
16596,165962,WT,21415000.abf,1800,1163,439,198,64.6,24.4,11.0
16596,165962,WT,21415001.abf,1800,1191,432,177,66.2,24.0,9.8
16596,165962,WT,21415002.abf,1800,1146,405,249,63.7,22.5,13.8
16640,166401,WT,21421009.abf,1800,1056,579,165,58.7,32.2,9.2
16640,166401,WT,21421010.abf,1797,987,466,344,54.9,25.9,19.1
16640,166401,WT,21421011.abf,1800,1115,486,199,61.9,27.0,11.1
16640,166401,WT,21421012.abf,1800,1076,502,222,59.8,27.9,12.3
16640,166401,WT,21421013.abf,1800,1041,529,230,57.8,29.4,12.8
16640,166401,WT,21422000.abf,1800,1115,481,204,61.9,26.7,11.3
16640,166402,WT,21422001.abf,1800,1143,467,190,63.5,25.9,10.6
16640,166402,WT,21422002.abf,1800,1091,478,231,60.6,26.6,12.8
16640,166402,WT,21422003.abf,1800,1149,507,144,63.8,28.2,8.0
16640,166402,WT,21422004.abf,1800,1129,507,164,62.7,28.2,9.1
16640,166402,WT,21422005.abf,1800,1205,447,148,66.9,24.8,8.2
16640,166402,WT,21422006.abf,1761,1002,485,274,56.9,27.5,15.6
16645,166451,WT,21427008.abf,1800,1106,461,233,61.4,25.6,12.9
16645,166451,WT,21427009.abf,1800,1118,430,252,62.1,23.9,14.0
16645,166451,WT,21427010.abf,1800,984,471,345,54.7,26.2,19.2
16645,166451,WT,21427011.abf,1800,1180,424,196,65.6,23.6,10.9
16645,166451,WT,21427012.abf,1800,1198,491,111,66.6,27.3,6.2
16645,166451,WT,21428000.abf,1800,1197,454,149,66.5,25.2,8.3
16645,166452,WT,21428001.abf,1800,1161,511,128,64.5,28.4,7.1
16645,166452,WT,21428002.abf,1800,1196,477,127,66.4,26.5,7.1
16645,166452,WT,21428003.abf,1800,1166,454,180,64.8,25.2,10.0
16645,166452,WT,21428004.abf,1800,1193,479,128,66.3,26.6,7.1
16645,166452,WT,21428005.abf,1800,1159,478,163,64.4,26.6,9.1
16645,166452,WT,21428006.abf,1800,1226,463,111,68.1,25.7,6.2
16653,166531,WT,21429009.abf,1800,1200,409,191,66.7,22.7,10.6
16653,166531,WT,21429010.abf,1800,1281,443,76,71.2,24.6,4.2
16653,166531,WT,21429011.abf,1800,1297,434,69,72.1,24.1,3.8
16653,166531,WT,21429012.abf,1800,1322,421,57,73.4,23.4,3.2
16653,166531,WT,21430000.abf,1800,1327,383,90,73.7,21.3,5.0
16653,166532,WT,21430001.abf,1800,1288,444,68,71.6,24.7,3.8
16653,166532,WT,21430002.abf,1800,1308,423,69,72.7,23.5,3.8
16653,166532,WT,21430003.abf,1800,1280,452,68,71.1,25.1,3.8
16653,166532,WT,21430004.abf,1800,1227,462,111,68.2,25.7,6.2
16653,166532,WT,21430005.abf,1800,1188,492,120,66.0,27.3,6.7
16653,166532,WT,21430006.abf,1800,1247,452,101,69.3,25.1,5.6
16654,166541,WT,21428009.abf,1798,930,513,355,51.7,28.5,19.7
16654,166541,WT,21428010.abf,1800,1197,514,89,66.5,28.6,4.9
16654,166541,WT,21428011.abf,1800,1186,464,150,65.9,25.8,8.3
16654,166541,WT,21428012.abf,1800,1120,521,159,62.2,28.9,8.8
16654,166541,WT,21428013.abf,1800,1117,550,133,62.1,30.6,7.4
16654,166541,WT,21429000.abf,1800,1178,501,121,65.4,27.8,6.7
16654,166542,WT,21429001.abf,1800,1177,483,140,65.4,26.8,7.8
16654,166542,WT,21429002.abf,1800,1246,447,107,69.2,24.8,5.9
16654,166542,WT,21429003.abf,1800,1182,462,156,65.7,25.7,8.7
16654,166542,WT,21429004.abf,1800,1222,428,150,67.9,23.8,8.3
16654,166542,WT,21429005.abf,1800,1182,459,159,65.7,25.5,8.8
16654,166542,WT,21429006.abf,1800,1195,469,136,66.4,26.1,7.6
16657,166571,WT,21430009.abf,1800,1277,441,82,70.9,24.5,4.6
16657,166571,WT,21430010.abf,1800,1101,557,142,61.2,30.9,7.9
16657,166571,WT,21430011.abf,1800,1112,534,154,61.8,29.7,8.6
16657,166571,WT,21430012.abf,1800,1141,512,147,63.4,28.4,8.2
16657,166571,WT,21501000.abf,1800,1155,507,138,64.2,28.2,7.7
16657,166571,WT,21501001.abf,1800,1196,474,130,66.4,26.3,7.2
16657,166572,WT,21501002.abf,1800,1138,505,157,63.2,28.1,8.7
16657,166572,WT,21501003.abf,1800,1099,500,201,61.1,27.8,11.2
16657,166572,WT,21501004.abf,1800,1084,535,181,60.2,29.7,10.1
16657,166572,WT,21501005.abf,1800,1072,521,207,59.6,28.9,11.5
16657,166572,WT,21501006.abf,1800,1070,530,200,59.4,29.4,11.1
16657,166572,WT,21501007.abf,1800,997,560,243,55.4,31.1,13.5
16658,166581,WT,21503002.abf,1785,1057,424,304,59.2,23.8,17.0
16658,166581,WT,21503003.abf,1800,1067,534,199,59.3,29.7,11.1
16658,166581,WT,21503004.abf,1800,1168,531,101,64.9,29.5,5.6
16658,166581,WT,21503005.abf,1800,1202,512,86,66.8,28.4,4.8
16658,166581,WT,21503006.abf,1800,1216,487,97,67.6,27.1,5.4
16658,166582,WT,21504000.abf,1800,1185,499,116,65.8,27.7,6.4
16658,166582,WT,21504001.abf,1800,1171,529,100,65.1,29.4,5.6
16658,166582,WT,21504002.abf,1800,1274,443,83,70.8,24.6,4.6
16658,166582,WT,21504003.abf,1800,1273,465,62,70.7,25.8,3.4
16658,166582,WT,21504004.abf,1800,1286,435,79,71.4,24.2,4.4
16658,166582,WT,21504005.abf,1800,1280,453,67,71.1,25.2,3.7
16570,165701,KO,21407009.abf,1800,1272,416,112,70.7,23.1,6.2
16570,165701,KO,21407010.abf,1800,1255,409,136,69.7,22.7,7.6
16570,165701,KO,21407011.abf,1800,1266,382,152,70.3,21.2,8.4
16570,165701,KO,21408000.abf,1800,1266,402,132,70.3,22.3,7.3
16570,165701,KO,21408001.abf,1800,1240,403,157,68.9,22.4,8.7
16570,165702,KO,21408002.abf,1800,1191,428,181,66.2,23.8,10.1
16570,165702,KO,21408003.abf,1800,1215,471,114,67.5,26.2,6.3
16570,165702,KO,21408004.abf,1800,1221,433,146,67.8,24.1,8.1
16570,165702,KO,21408005.abf,1745,1197,384,164,68.6,22.0,9.4
16570,165702,KO,21408006.abf,1676,1128,390,158,67.3,23.3,9.4
16570,165702,KO,21408007.abf,1792,1185,463,144,66.1,25.8,8.0
16571,165711,KO,21408010.abf,1800,1217,462,121,67.6,25.7,6.7
16571,165711,KO,21408012.abf,1800,1223,455,122,67.9,25.3,6.8
16571,165711,KO,21408013.abf,1800,1220,463,117,67.8,25.7,6.5
16571,165711,KO,21409000.abf,1800,1195,483,122,66.4,26.8,6.8
16571,165711,KO,21409001.abf,1800,1155,493,152,64.2,27.4,8.4
16571,165712,KO,21409002.abf,1800,1143,502,155,63.5,27.9,8.6
16571,165712,KO,21409003.abf,1800,1182,463,155,65.7,25.7,8.6
