feature,tp1,tp2,group,mean_delta,transition,scenario
wake_bp_delta,3m,4m,WT,0.06832319066080056,3m→4m,A
wake_bp_delta,3m,4m,KO,-0.050141236016105595,3m→4m,A
wake_bp_delta,4m,6m,WT,0.2912122746696616,4m→6m,A
wake_bp_delta,4m,6m,KO,0.42634808057271406,4m→6m,A
wake_bp_delta,6m,7m,WT,-0.41260581068611685,6m→7m,A
wake_bp_delta,6m,7m,KO,-0.283725975481328,6m→7m,A
wake_bp_delta,7m,9m,WT,-0.11657974590254544,7m→9m,A
wake_bp_delta,7m,9m,KO,-0.5102278393221155,7m→9m,A
wake_bp_delta,9m,12m,WT,0.4522650822593672,9m→12m,A
wake_bp_delta,9m,12m,KO,0.1413734335206761,9m→12m,A
wake_bp_theta,3m,4m,WT,-0.03567999353993022,3m→4m,A
wake_bp_theta,3m,4m,KO,0.017749727913127587,3m→4m,A
wake_bp_theta,4m,6m,WT,0.03175601610306322,4m→6m,A
wake_bp_theta,4m,6m,KO,0.04159980623873105,4m→6m,A
wake_bp_theta,6m,7m,WT,-0.024345035317489806,6m→7m,A
wake_bp_theta,6m,7m,KO,-0.07685128621721321,6m→7m,A
wake_bp_theta,7m,9m,WT,-0.03039574987182203,7m→9m,A
wake_bp_theta,7m,9m,KO,-0.1340059769081929,7m→9m,A
wake_bp_theta,9m,12m,WT,0.1452539624617174,9m→12m,A
wake_bp_theta,9m,12m,KO,0.033866558405516896,9m→12m,A
wake_bp_alpha,3m,4m,WT,-0.016916443570925782,3m→4m,A
wake_bp_alpha,3m,4m,KO,0.030152750010748436,3m→4m,A
wake_bp_alpha,4m,6m,WT,0.013491937585929769,4m→6m,A
wake_bp_alpha,4m,6m,KO,0.0008033712559627779,4m→6m,A
wake_bp_alpha,6m,7m,WT,-0.008689020509478309,6m→7m,A
wake_bp_alpha,6m,7m,KO,-0.05831426685711458,6m→7m,A
wake_bp_alpha,7m,9m,WT,-0.014108099006992829,7m→9m,A
wake_bp_alpha,7m,9m,KO,-0.06811517620957627,7m→9m,A
wake_bp_alpha,9m,12m,WT,0.08111710043667013,9m→12m,A
wake_bp_alpha,9m,12m,KO,0.012509659195811077,9m→12m,A
wake_bp_beta,3m,4m,WT,-0.022927289052724485,3m→4m,A
wake_bp_beta,3m,4m,KO,0.11948308397344604,3m→4m,A
wake_bp_beta,4m,6m,WT,0.01657185217312607,4m→6m,A
wake_bp_beta,4m,6m,KO,-0.09620162271374963,4m→6m,A
wake_bp_beta,6m,7m,WT,-0.004749275253933797,6m→7m,A
wake_bp_beta,6m,7m,KO,-0.08321384966330016,6m→7m,A
wake_bp_beta,7m,9m,WT,-0.02041056862132685,7m→9m,A
wake_bp_beta,7m,9m,KO,-0.07487291890891648,7m→9m,A
wake_bp_beta,9m,12m,WT,0.09825087567014239,9m→12m,A
wake_bp_beta,9m,12m,KO,0.011612952583653679,9m→12m,A
wake_bp_gamma,3m,4m,WT,0.0036129542929476816,3m→4m,A
