feature,timepoint,tp_x,wt_mean,wt_sem,ko_mean,ko_sem,cohens_d,pval,n_wt,n_ko,scenario,pval_fdr,sig
wake_bp_delta,3m,3,0.4478178494115847,0.07721066084509107,0.6119171916311467,0.12450724067585074,0.5280194444958306,0.37722461666745344,9,9,A_animal,1.0,ns
wake_bp_theta,3m,3,0.10797628780418173,0.020824389676617972,0.1572382599242167,0.035181032262930366,0.5680289906998139,0.21637300805763748,9,9,A_animal,1.0,ns
wake_bp_alpha,3m,3,0.05318793905547279,0.010958961086313793,0.08398566737323189,0.026497728986837932,0.5063096043399404,0.47992869214595724,9,9,A_animal,1.0,ns
wake_bp_beta,3m,3,0.06166388565018981,0.013491469213665426,0.10124303995102613,0.040183016470897455,0.44017272163110627,0.6588432549492806,9,9,A_animal,1.0,ns
wake_bp_gamma,3m,3,0.03901962058782317,0.00935890170183267,0.05351059321569819,0.01887681405789191,0.32421818600367197,0.9296365245070707,9,9,A_animal,1.0,ns
wake_rbp_delta,3m,3,0.4896375883629828,0.041515163483735955,0.4956520648088202,0.02162547607171048,0.06056943622272634,1.0,9,9,A_animal,1.0,ns
wake_rbp_theta,3m,3,0.1942555006373789,0.008429584464910529,0.2132736061631132,0.012654419765600068,0.589622916233443,0.18532630419857943,9,9,A_animal,1.0,ns
wake_rbp_alpha,3m,3,0.12260633582276154,0.009522658028177068,0.12017128719840398,0.007570690789019045,-0.09435736610239209,0.9296365245070707,9,9,A_animal,1.0,ns
wake_rbp_beta,3m,3,0.12392227683753448,0.015899960838341613,0.1108324015130814,0.013082017481014514,-0.2996905019954555,0.9296365245070707,9,9,A_animal,1.0,ns
wake_rbp_gamma,3m,3,0.06957829615763357,0.014992293441544638,0.060070631771661734,0.005558224718961449,-0.2803069466888381,1.0,9,9,A_animal,1.0,ns
wake_td_ratio,3m,3,0.6187496665296942,0.08588728705676323,0.5903483888498401,0.048701590052098044,-0.13560114904176912,0.859819205054158,9,9,A_animal,1.0,ns
wake_theta_alpha,3m,3,2.0702691808750395,0.10265763141809087,2.315841198090111,0.11259278648530312,0.7597688723288013,0.1333202155896274,9,9,A_animal,1.0,ns
wake_theta_beta,3m,3,2.796297327560304,0.3978142111749196,3.18002728882609,0.3729445232680601,0.3317340382669108,0.42677673653298365,9,9,A_animal,1.0,ns
wake_slow_fast,3m,3,133.20059369781742,116.07434492729898,229.24526535000612,137.8829226586915,0.25120361898277543,0.859819205054158,9,9,A_animal,1.0,ns
wake_high_freq_idx,3m,3,0.1935005729951681,0.029970359763275615,0.17090303328474318,0.014652256914815358,-0.31931892651479177,0.9296365245070707,9,9,A_animal,1.0,ns
