feature,timepoint,scenario,unit,wt_mean,wt_std,ko_mean,ko_std,cohens_d,pval,n_wt,n_ko,pval_fdr,sig
wake_bp_delta,6m,A,animal_id,0.787671,0.975566,0.937145,0.870178,0.1617,0.441803,8,8,0.985408,ns
wake_bp_theta,6m,A,animal_id,0.099717,0.094485,0.213165,0.329424,0.4682,0.194872,8,8,0.985408,ns
wake_bp_alpha,6m,A,animal_id,0.047371,0.042343,0.120401,0.207889,0.4868,0.234499,8,8,0.985408,ns
wake_bp_beta,6m,A,animal_id,0.052347,0.045554,0.146607,0.267365,0.4915,0.194872,8,8,0.985408,ns
wake_bp_gamma,6m,A,animal_id,0.033855,0.029319,0.114887,0.192351,0.589,0.194872,8,8,0.985408,ns
wake_rbp_delta,6m,A,animal_id,0.505271,0.116942,0.496466,0.110445,-0.0774,0.878477,8,8,0.985408,ns
wake_rbp_theta,6m,A,animal_id,0.199547,0.045876,0.195179,0.052203,-0.0889,0.645377,8,8,0.985408,ns
wake_rbp_alpha,6m,A,animal_id,0.116143,0.031338,0.10961,0.034924,-0.1969,0.798446,8,8,0.985408,ns
wake_rbp_beta,6m,A,animal_id,0.102395,0.040104,0.10672,0.03942,0.1088,0.645377,8,8,0.985408,ns
wake_rbp_gamma,6m,A,animal_id,0.076645,0.038712,0.092025,0.034804,0.4178,0.645377,8,8,0.985408,ns
wake_td_ratio,6m,A,animal_id,0.539495,0.187911,0.54648,0.217806,0.0343,0.95913,8,8,0.985408,ns
wake_theta_alpha,6m,A,animal_id,2.09465,0.201914,2.218529,0.339363,0.4436,0.505361,8,8,0.985408,ns
wake_theta_beta,6m,A,animal_id,2.600375,0.813657,2.425226,0.709023,-0.2295,0.798446,8,8,0.985408,ns
wake_slow_fast,6m,A,animal_id,23.989885,15.191908,95.667025,193.106492,0.5233,1.0,8,8,1.0,ns
wake_high_freq_idx,6m,A,animal_id,0.17904,0.066493,0.198745,0.057559,0.3169,0.505361,8,8,0.985408,ns
wake_spectral_entropy,6m,A,animal_id,0.751267,0.118479,0.757,0.101714,0.0519,0.95913,8,8,0.985408,ns
wake_ap_exp,6m,A,animal_id,1.712982,0.268823,1.627828,0.216341,-0.349,0.645377,8,8,0.985408,ns
wake_total_var,6m,A,animal_id,1.899442,2.259066,2.346091,2.323265,0.1949,0.328205,8,8,0.985408,ns
wake_rms,6m,A,animal_id,0.784687,0.907685,0.876038,0.676512,0.1141,0.505361,8,8,0.985408,ns
wake_p2p,6m,A,animal_id,2.678736,2.104558,3.440153,2.245255,0.3499,0.278632,8,8,0.985408,ns
wake_zcr,6m,A,animal_id,0.078624,0.026339,0.078617,0.024438,-0.0003,0.720901,8,8,0.985408,ns
wake_coeff_var,6m,A,animal_id,13.738383,12.634417,8.40031,5.709258,-0.5445,0.573737,8,8,0.985408,ns
wake_hjorth_mob,6m,A,animal_id,0.275168,0.079346,0.272884,0.08667,-0.0275,0.720901,8,8,0.985408,ns
wake_hjorth_comp,6m,A,animal_id,6.517086,2.727258,6.58777,2.653102,0.0263,0.878477,8,8,0.985408,ns
wake_lzc,6m,A,animal_id,0.050758,0.000838,0.050634,0.000616,-0.1696,0.95913,8,8,0.985408,ns
nrem_bp_delta,6m,A,animal_id,0.053515,0.148187,0.12578,0.34236,0.2739,0.798446,8,8,0.985408,ns
nrem_bp_theta,6m,A,animal_id,0.007818,0.018726,0.069567,0.183076,0.4745,0.720901,8,8,0.985408,ns
nrem_bp_alpha,6m,A,animal_id,0.003212,0.007489,0.037426,0.099909,0.4829,0.573737,8,8,0.985408,ns
nrem_bp_beta,6m,A,animal_id,0.00291,0.007075,0.043077,0.11635,0.4873,0.645377,8,8,0.985408,ns
nrem_bp_gamma,6m,A,animal_id,0.001795,0.004293,0.031554,0.084216,0.4991,0.505361,8,8,0.985408,ns
nrem_rbp_delta,6m,A,animal_id,0.328266,0.093175,0.315099,0.080954,-0.1509,0.95913,8,8,0.985408,ns
nrem_rbp_theta,6m,A,animal_id,0.314531,0.037339,0.312406,0.041424,-0.0539,0.878477,8,8,0.985408,ns
nrem_rbp_alpha,6m,A,animal_id,0.154684,0.022562,0.144105,0.020381,-0.4921,0.234499,8,8,0.985408,ns
nrem_rbp_beta,6m,A,animal_id,0.120866,0.038622,0.129764,0.042324,0.2196,0.573737,8,8,0.985408,ns
nrem_rbp_gamma,6m,A,animal_id,0.081652,0.045849,0.098625,0.035932,0.4121,0.441803,8,8,0.985408,ns
nrem_td_ratio,6m,A,animal_id,1.222811,0.447636,1.201518,0.457802,-0.047,0.878477,8,8,0.985408,ns
nrem_theta_alpha,6m,A,animal_id,2.413657,0.273495,2.544243,0.28862,0.4645,0.278632,8,8,0.985408,ns
nrem_theta_beta,6m,A,animal_id,3.249593,1.186719,2.93686,0.988048,-0.2864,0.720901,8,8,0.985408,ns
nrem_slow_fast,6m,A,animal_id,4.669289,2.913771,3.571729,1.29988,-0.4865,0.878477,8,8,0.985408,ns
nrem_high_freq_idx,6m,A,animal_id,0.202518,0.075267,0.228389,0.065759,0.3661,0.720901,8,8,0.985408,ns
nrem_spectral_entropy,6m,A,animal_id,0.867236,0.069631,0.885981,0.040867,0.3283,0.798446,8,8,0.985408,ns
nrem_ap_exp,6m,A,animal_id,1.709076,0.343196,1.610008,0.29586,-0.3092,0.798446,8,8,0.985408,ns
nrem_total_var,6m,A,animal_id,0.118561,0.323957,0.391131,1.054876,0.3493,0.645377,8,8,0.985408,ns
nrem_rms,6m,A,animal_id,0.303255,0.488934,0.360992,0.511752,0.1154,0.441803,8,8,0.985408,ns
nrem_p2p,6m,A,animal_id,0.64091,0.76159,1.342149,2.09332,0.4452,0.573737,8,8,0.985408,ns
