feature,timepoint,scenario,unit,wt_mean,wt_std,ko_mean,ko_std,cohens_d,pval,n_wt,n_ko,pval_fdr,sig
wake_bp_delta,7m,B,session_id,0.366008,0.349705,0.677272,0.632643,0.609,0.060086,16,12,0.392143,ns
wake_bp_theta,7m,B,session_id,0.074225,0.054315,0.16744,0.17147,0.7329,0.090176,16,12,0.392143,ns
wake_bp_alpha,7m,B,session_id,0.038044,0.029263,0.083738,0.083022,0.7341,0.054031,16,12,0.392143,ns
wake_bp_beta,7m,B,session_id,0.046195,0.037961,0.091603,0.089762,0.6589,0.090176,16,12,0.392143,ns
wake_bp_gamma,7m,B,session_id,0.02714,0.023368,0.053403,0.051741,0.6542,0.090176,16,12,0.392143,ns
wake_rbp_delta,7m,B,session_id,0.443472,0.115737,0.47275,0.111232,0.2579,0.530842,16,12,0.947932,ns
wake_rbp_theta,7m,B,session_id,0.228244,0.033204,0.222795,0.061809,-0.1098,0.625939,16,12,0.957508,ns
wake_rbp_alpha,7m,B,session_id,0.132376,0.030028,0.122352,0.040031,-0.2833,0.500855,16,12,0.916198,ns
wake_rbp_beta,7m,B,session_id,0.118913,0.041201,0.107193,0.023336,-0.3501,0.44368,16,12,0.899351,ns
wake_rbp_gamma,7m,B,session_id,0.076993,0.030028,0.074909,0.03037,-0.069,0.390428,16,12,0.887336,ns
wake_td_ratio,7m,B,session_id,0.688748,0.260191,0.627457,0.241811,-0.244,0.762839,16,12,0.969711,ns
wake_theta_alpha,7m,B,session_id,2.123343,0.310313,2.242757,0.268687,0.4114,0.236489,16,12,0.68218,ns
wake_theta_beta,7m,B,session_id,2.6207,0.827677,2.584282,0.515401,-0.0528,0.727706,16,12,0.957508,ns
wake_slow_fast,7m,B,session_id,81.253842,195.2251,14.502242,14.913805,-0.4821,0.727706,16,12,0.957508,ns
wake_high_freq_idx,7m,B,session_id,0.195907,0.06593,0.182102,0.0305,-0.2687,0.416552,16,12,0.892611,ns
wake_spectral_entropy,7m,B,session_id,0.803099,0.0962,0.776495,0.099768,-0.2715,0.318225,16,12,0.822996,ns
wake_ap_exp,7m,B,session_id,1.68907,0.245991,1.707857,0.157495,0.091,0.561714,16,12,0.957467,ns
wake_total_var,7m,B,session_id,0.800212,0.763597,1.41552,1.289972,0.5805,0.109239,16,12,0.409646,ns
wake_rms,7m,B,session_id,0.351709,0.22054,0.538761,0.327116,0.6705,0.073886,16,12,0.392143,ns
wake_p2p,7m,B,session_id,1.950465,0.982639,3.081559,1.567332,0.8647,0.054031,16,12,0.392143,ns
wake_zcr,7m,B,session_id,0.085937,0.026464,0.120772,0.09588,0.4953,0.944484,16,12,0.97036,ns
wake_coeff_var,7m,B,session_id,44.15694,92.282016,16.653628,34.674784,-0.3946,0.500855,16,12,0.916198,ns
wake_hjorth_mob,7m,B,session_id,0.294556,0.074253,0.383315,0.261336,0.462,0.907605,16,12,0.97036,ns
wake_hjorth_comp,7m,B,session_id,5.852012,3.536627,4.491156,0.834188,-0.5296,0.727706,16,12,0.957508,ns
wake_lzc,7m,B,session_id,0.050454,0.000887,0.050596,0.000748,0.1738,0.593429,16,12,0.957508,ns
nrem_bp_delta,7m,B,session_id,0.001206,0.001071,0.013843,0.026522,0.6733,0.099343,16,12,0.392143,ns
nrem_bp_theta,7m,B,session_id,0.001754,0.001787,0.011697,0.013596,1.0254,0.143645,16,12,0.489699,ns
nrem_bp_alpha,7m,B,session_id,0.000938,0.001041,0.005421,0.00586,1.0653,0.143645,16,12,0.489699,ns
nrem_bp_beta,7m,B,session_id,0.000805,0.00091,0.00506,0.00566,1.0497,0.099343,16,12,0.392143,ns
nrem_bp_gamma,7m,B,session_id,0.0004,0.000417,0.002626,0.003078,1.0135,0.090176,16,12,0.392143,ns
nrem_rbp_delta,7m,B,session_id,0.29585,0.084061,0.311338,0.100468,0.1672,0.834521,16,12,0.97036,ns
nrem_rbp_theta,7m,B,session_id,0.332841,0.026798,0.3263,0.081712,-0.1076,0.27529,16,12,0.764694,ns
nrem_rbp_alpha,7m,B,session_id,0.160735,0.026982,0.149542,0.040089,-0.3276,0.416552,16,12,0.892611,ns
nrem_rbp_beta,7m,B,session_id,0.131341,0.041031,0.131697,0.028721,0.0101,0.870925,16,12,0.97036,ns
nrem_rbp_gamma,7m,B,session_id,0.079233,0.033547,0.081121,0.024155,0.0646,0.981481,16,12,0.981481,ns
nrem_td_ratio,7m,B,session_id,1.369937,0.446597,1.34152,0.522018,-0.0585,0.944484,16,12,0.97036,ns
nrem_theta_alpha,7m,B,session_id,2.466982,0.348824,2.611451,0.348559,0.4143,0.341255,16,12,0.853137,ns
nrem_theta_beta,7m,B,session_id,3.135505,1.117562,3.026759,1.109869,-0.0976,0.834521,16,12,0.97036,ns
nrem_slow_fast,7m,B,session_id,4.064522,2.238354,3.741334,0.985295,-0.1869,0.693136,16,12,0.957508,ns
nrem_high_freq_idx,7m,B,session_id,0.210574,0.067499,0.212819,0.045662,0.039,0.870925,16,12,0.97036,ns
nrem_spectral_entropy,7m,B,session_id,0.880761,0.055193,0.865208,0.057625,-0.2757,0.390428,16,12,0.887336,ns
nrem_ap_exp,7m,B,session_id,1.64848,0.301574,1.611936,0.238287,-0.1345,0.798467,16,12,0.97036,ns
nrem_total_var,7m,B,session_id,0.005391,0.005316,0.043383,0.060405,0.8861,0.099343,16,12,0.392143,ns
nrem_rms,7m,B,session_id,0.100673,0.039933,0.165731,0.113151,0.7668,0.365325,16,12,0.883851,ns
nrem_p2p,7m,B,session_id,0.444883,0.271407,0.8793,0.700533,0.8178,0.201724,16,12,0.605172,ns
nrem_zcr,7m,B,session_id,0.096204,0.026135,0.137802,0.113114,0.5067,0.870925,16,12,0.97036,ns
nrem_coeff_var,7m,B,session_id,24.008942,39.844157,34.380942,107.656119,0.1278,0.693136,16,12,0.957508,ns
nrem_hjorth_mob,7m,B,session_id,0.311922,0.081549,0.4214,0.313823,0.4775,0.834521,16,12,0.97036,ns
nrem_hjorth_comp,7m,B,session_id,3.979057,0.758653,3.606803,0.937904,-0.4364,0.500855,16,12,0.916198,ns
nrem_lzc,7m,B,session_id,0.050198,0.000841,0.050349,0.000793,0.1843,0.625939,16,12,0.957508,ns
all_bp_delta,7m,B,session_id,0.22677,0.206911,0.431837,0.432606,0.6048,0.066692,16,12,0.392143,ns
all_bp_theta,7m,B,session_id,0.046808,0.032595,0.10938,0.11669,0.7304,0.054031,16,12,0.392143,ns
all_bp_alpha,7m,B,session_id,0.023977,0.017456,0.054561,0.056343,0.7333,0.038842,16,12,0.392143,*
all_bp_beta,7m,B,session_id,0.028875,0.022564,0.059316,0.060947,0.6624,0.099343,16,12,0.392143,ns
all_bp_gamma,7m,B,session_id,0.016915,0.013918,0.034438,0.035004,0.6579,0.099343,16,12,0.392143,ns
all_rbp_delta,7m,B,session_id,0.38933,0.10117,0.41205,0.107815,0.2173,0.693136,16,12,0.957508,ns
all_rbp_theta,7m,B,session_id,0.266551,0.027357,0.261576,0.068681,-0.0952,0.296237,16,12,0.793492,ns
all_rbp_alpha,7m,B,session_id,0.142923,0.027746,0.132477,0.039885,-0.3041,0.47179,16,12,0.916198,ns
all_rbp_beta,7m,B,session_id,0.123378,0.04072,0.116218,0.023478,-0.2154,0.659194,16,12,0.957508,ns
all_rbp_gamma,7m,B,session_id,0.077819,0.030727,0.07768,0.024152,-0.005,0.593429,16,12,0.957508,ns
all_td_ratio,7m,B,session_id,0.935335,0.318824,0.894092,0.342457,-0.1247,0.944484,16,12,0.97036,ns
all_theta_alpha,7m,B,session_id,2.244734,0.320431,2.379898,0.274574,0.453,0.201724,16,12,0.605172,ns
all_theta_beta,7m,B,session_id,2.806574,0.92496,2.741317,0.714259,-0.079,0.944484,16,12,0.97036,ns
all_slow_fast,7m,B,session_id,48.520216,109.978855,10.383732,9.487196,-0.4886,0.762839,16,12,0.969711,ns
all_high_freq_idx,7m,B,session_id,0.201197,0.065528,0.193898,0.029857,-0.1433,0.625939,16,12,0.957508,ns
all_spectral_entropy,7m,B,session_id,0.832139,0.077708,0.810729,0.082223,-0.2676,0.185809,16,12,0.605172,ns
all_ap_exp,7m,B,session_id,1.67512,0.263917,1.6688,0.188338,-0.0276,0.907605,16,12,0.97036,ns
all_total_var,7m,B,session_id,0.495804,0.450242,0.907135,0.880236,0.5884,0.090176,16,12,0.392143,ns
all_rms,7m,B,session_id,0.255842,0.141927,0.397743,0.245194,0.7083,0.066692,16,12,0.392143,ns
all_p2p,7m,B,session_id,1.379328,0.601642,2.224662,1.111936,0.9456,0.038842,16,12,0.392143,*
all_zcr,7m,B,session_id,0.089729,0.025887,0.127698,0.102683,0.5071,0.981481,16,12,0.981481,ns
all_coeff_var,7m,B,session_id,37.955488,74.651933,21.887136,57.432289,-0.2413,0.44368,16,12,0.899351,ns
