feature,wt_mean,ko_mean,pval,cohens_d,sig,n_wt,n_ko,pval_fdr,fdr_sig
wake_bp_delta,0.3804,0.37464,0.4,0.062,ns,102,87,0.8,False
wake_bp_theta,0.2181,0.24622,0.0,-0.607,***,102,87,0.0,True
wake_bp_alpha,0.13332,0.13153,0.6939,0.061,ns,102,87,0.9109411764705883,False
wake_bp_beta,0.1299,0.12316,0.4821,0.118,ns,102,87,0.8035,False
wake_bp_gamma,0.06624,0.06061,0.984,0.176,ns,102,87,0.984,False
nrem_bp_delta,0.48808,0.46561,0.0995,0.194,ns,102,87,0.3316666666666667,False
nrem_bp_theta,0.17326,0.19864,0.0,-0.537,***,102,87,0.0,True
nrem_bp_alpha,0.1167,0.1216,0.2325,-0.136,ns,102,87,0.58125,False
nrem_bp_beta,0.10233,0.10541,0.4672,-0.053,ns,102,87,0.8035,False
nrem_bp_gamma,0.05407,0.04853,0.5946,0.18,ns,102,87,0.869,False
rem_bp_delta,0.22713,0.21853,0.3111,0.114,ns,102,86,0.6913333333333332,False
rem_bp_theta,0.36868,0.4106,0.0,-0.793,***,102,86,0.0,True
rem_bp_alpha,0.16616,0.16394,0.6083,0.084,ns,102,86,0.869,False
rem_bp_beta,0.12805,0.11617,0.0888,0.296,ns,102,86,0.3316666666666667,False
rem_bp_gamma,0.06106,0.05652,0.8941,0.145,ns,102,86,0.9798947368421053,False
all_bp_delta,0.39494,0.38405,0.2223,0.114,ns,102,87,0.58125,False
all_bp_theta,0.22039,0.24765,0.0,-0.587,***,102,87,0.0,True
all_bp_alpha,0.13198,0.13174,0.9309,0.008,ns,102,87,0.9798947368421053,False
all_bp_beta,0.12229,0.11844,0.7743,0.068,ns,102,87,0.9109411764705883,False
all_bp_gamma,0.06249,0.0571,0.7499,0.173,ns,102,87,0.9109411764705883,False
